year,state,Working_Age_Population_thousands, Employed_Person_in_Thousands,Total_Working_Age_Population,Total_Employed_Person,Overall_Employment_Rate
1992,Pulau Pinang,369.6,324.1,748.9,512.7,0.684604086
1992,Perak,572.8,432.3,1164.9,692.9,0.594815006
1992,Perlis,56,46.6,112.8,66.9,0.593085106
1992,Selangor,834.6,692.7,1639.8,1069.6,0.652274668
1992,Terengganu,225.4,164.8,441.9,252.9,0.572301426
1992,Sabah,581.3,351.7,1089,491.5,0.451331497
1992,Sarawak,541.6,449.5,1052,711.3,0.676140684
1992,W.P. Kuala Lumpur,435.3,353,845.3,555.8,0.657518041
1992,W.P. Labuan,18.3,11.3,33.4,14.9,0.446107784
1993,Johor,721.4,625.7,1398.5,974.3,0.696675009
1993,Kedah,407,322,834.6,475,0.569134915
1993,Kelantan,317.7,250,656.4,394.4,0.600853138
1993,Melaka,162.2,140,331.6,218.5,0.658926417
1993,Negeri Sembilan,224.6,165.4,444.7,284.4,0.639532269
1993,Pahang,339.4,264,643.3,378.7,0.588683351
1993,Pulau Pinang,377.8,347.5,764.7,531,0.694389957
1993,Perak,583,435.6,1182.4,669.7,0.566390392
1993,Perlis,56.3,50.9,113.6,70.7,0.622359155
1993,Selangor,897,696.1,1759.7,1080.1,0.613797806
1993,Terengganu,228.9,190.6,448.5,280.9,0.626309922
1993,Sabah,600.9,495.3,1129.9,674,0.596512966
1993,Sarawak,554.6,479.1,1079.3,753.8,0.69841564
1993,W.P. Kuala Lumpur,442.1,377.6,859.5,580.5,0.67539267
1993,W.P. Labuan,18.9,14,34.6,17.3,0.5
1995,Johor,776.3,595.6,1497,891.8,0.595724783
1995,Kedah,428,345.4,875.8,521.1,0.594998858
1995,Kelantan,324.9,251.6,667.9,412.6,0.617757149
1995,Melaka,171.9,147.3,348.4,222.8,0.639494834
1995,Negeri Sembilan,239.1,188.6,471,296.1,0.62866242
1995,Pahang,361.3,272.3,682.1,371.4,0.544494942
1995,Pulau Pinang,395.8,313.9,799.8,485.9,0.607526882
1995,Perak,598.4,421.5,1208.9,634.3,0.524691869
1995,Perlis,57.1,50.3,115.6,70.8,0.612456747
1995,Selangor,1036.3,858.3,2027.8,1338.8,0.660222902
1995,Terengganu,236,182.4,461.7,268,0.580463504
1995,Sabah,647.2,521.6,1226.4,722.7,0.589285714
1995,Sarawak,581.1,506.7,1134.9,789.2,0.695391664
1995,W.P. Kuala Lumpur,457.4,375.2,892.7,588.4,0.659124006
1995,W.P. Labuan,20.5,25.8,37.7,31.1,0.824933687
1996,Johor,804.4,670.5,1547.9,996.7,0.643904645
1996,Kedah,438.5,352.8,896.6,536,0.597813964
1996,Kelantan,328.3,266.4,673.3,445.5,0.661666419
1996,Melaka,176.4,153.5,357,237,0.663865546
1996,Negeri Sembilan,246.7,202.9,484.5,319.3,0.659029928
1996,Pahang,372.8,296,702.7,406.2,0.578056069
1996,Pulau Pinang,404.8,300.6,817.9,449.4,0.549455924
1996,Perak,604.7,462.7,1219.5,723.1,0.592947929
1996,Perlis,57.5,48.5,116.5,70.1,0.601716738
1996,Selangor,1111,874.5,2172.2,1359.1,0.625679035
1996,Terengganu,239.9,193.6,468.8,298,0.635665529
1996,Sabah,673.5,705.4,1281,992.5,0.774785324
1996,Sarawak,594.1,527.2,1162.5,831.5,0.715268817
1996,W.P. Kuala Lumpur,465.5,431.1,910.3,697.8,0.766560475
1996,W.P. Labuan,21.3,28.7,39.2,37.4,0.954081633
1997,Johor,833.1,713.3,1599.8,1058.3,0.66152019
1997,Kedah,449.5,397.7,918.6,601.3,0.654583061
1997,Kelantan,332.6,254.7,680.5,413.6,0.607788391
1997,Melaka,181.4,163.5,365.9,257.2,0.702924296
1997,Negeri Sembilan,254.3,196.9,498,307.6,0.617670683
1997,Pahang,384.6,283.2,723.8,395.4,0.546283504
1997,Pulau Pinang,413.8,341.2,836.3,552,0.660050221
1997,Perak,611.1,485.3,1229.9,744.2,0.605089845
1997,Perlis,57.8,47.8,117.6,70.1,0.596088435
1997,Selangor,1187.4,862,2320.3,1329.9,0.573158643
1997,Terengganu,244.1,194.7,477,282.3,0.591823899
1997,Sabah,701.7,732.4,1339.6,1000.1,0.746566139
1997,Sarawak,607.1,537.6,1190.1,831.5,0.698680783
1997,W.P. Kuala Lumpur,473.5,420.2,928.1,691,0.744531839
1997,W.P. Labuan,22.1,27.3,40.8,34.7,0.850490196
1998,Johor,861.6,717,1651.9,1027,0.621708336
1998,Kedah,460.6,373.2,941,567.4,0.602975558
1998,Kelantan,337.2,260.7,688.5,430.7,0.625562818
1998,Melaka,186.7,159.5,375.6,242.4,0.645367412
1998,Negeri Sembilan,261.6,196.4,511.1,304.3,0.595382508
1998,Pahang,396,272.1,744.7,364.9,0.489995972
1998,Pulau Pinang,422.5,361.5,853.7,585.2,0.685486705
1998,Perak,616.4,443.7,1239.1,685,0.552820596
1998,Perlis,58.4,49.9,119,71,0.596638655
1998,Selangor,1265.9,915.8,2472.4,1430.4,0.578547161
1998,Terengganu,248.5,197.6,485.3,293.4,0.60457449
1998,Sabah,731.8,785.3,1402.1,1068.3,0.761928536
1998,Sarawak,620.2,535.7,1217.6,824.3,0.676987516
1998,W.P. Kuala Lumpur,481.1,423.3,944.5,668.4,0.707676019
1998,W.P. Labuan,22.8,27.3,42.6,37,0.868544601
1999,Johor,892.1,705.5,1708.1,1029.1,0.60248229
1999,Kedah,472.3,448.1,964.8,678.6,0.703358209
1999,Kelantan,342.3,275.5,697.4,436.8,0.626326355
1999,Melaka,191.6,156,384.7,243.1,0.631920977
1999,Negeri Sembilan,269.1,187,525,274.9,0.523619048
1999,Pahang,408,287.4,766.8,384.4,0.501304121
1999,Pulau Pinang,431.8,359.4,872.6,602.9,0.690923676
1999,Perak,621.6,454.7,1247.7,684.5,0.548609441
1999,Perlis,58.6,50.8,120.2,78.5,0.653078203
1999,Selangor,1346,900,2628.1,1427.2,0.543053917
1999,Terengganu,253.3,204.8,494.6,300.1,0.606752932
1999,Sabah,764,807.3,1468.5,1101.7,0.750221314
1999,Sarawak,632.9,548.7,1244.9,865,0.694834927
1999,W.P. Kuala Lumpur,488.7,435.6,961.2,689.7,0.717540574
1999,W.P. Labuan,23.7,30.3,44.1,41.2,0.934240363
2000,Johor,920,793.6,1758.7,1195.5,0.679763462
2000,Kedah,483.8,404.6,988.1,626.6,0.634146341
2000,Kelantan,347.1,266.8,705.7,425.7,0.603230835
2000,Melaka,196.8,160.6,394.5,253.5,0.642585551
2000,Negeri Sembilan,276.7,223.2,538.7,347.4,0.644885836
2000,Pahang,419.6,311.3,788,446.8,0.567005076
2000,Pulau Pinang,439.3,377.1,887.7,669.2,0.753858285
2000,Perak,626.4,485.8,1255.7,744.1,0.592577845
2000,Perlis,59.3,48.9,121.8,74.7,0.613300493
2000,Selangor,1428.2,1054.1,2788,1681.4,0.603084648
2000,Terengganu,258.1,206.2,503.7,306,0.607504467
2000,Sabah,796.8,653.6,1536.7,933.8,0.607665777
2000,Sarawak,645.9,546.4,1272.7,876.2,0.68845761
2000,W.P. Kuala Lumpur,494.2,422.6,973.6,662.8,0.680772391
2000,W.P. Labuan,24.8,18.7,46.2,25.4,0.54978355
2001,Johor,946.8,815.7,1806.3,1235.9,0.684216354
2001,Kedah,499.2,442.6,1016,701.1,0.690059055
2001,Kelantan,361.9,280.7,735.1,434.3,0.590803972
2001,Melaka,203.7,170.5,408.1,267.7,0.655966675
2001,Negeri Sembilan,284.2,226.3,552.7,351.3,0.63560702
2001,Pahang,430.5,303.4,809.1,437.8,0.541095044
2001,Pulau Pinang,450.6,429.2,907.5,714.9,0.787768595
2001,Perak,644.2,480.1,1286.9,730.7,0.567798586
2001,Perlis,60.6,55.5,124.3,82.8,0.66613033
2001,Selangor,1479.2,979,2878.2,1514.6,0.526231673
2001,Terengganu,266,202.2,519.7,298.6,0.574562247
2001,Sabah,827.5,659.5,1593.3,979,0.614448001
2001,Sarawak,664.7,553.1,1303.5,877.4,0.673110855
2001,W.P. Kuala Lumpur,504.4,438.1,991.7,703.7,0.709589594
2001,W.P. Labuan,25.2,19.9,47.1,27.1,0.57537155
2002,Johor,974.9,794,1856,1222.3,0.65856681
2002,Kedah,514.8,415.9,1043.9,645.1,0.61797107
2002,Kelantan,375.7,267.4,762,422.7,0.554724409
2002,Melaka,211,145.8,421.8,229.3,0.54362257
2002,Negeri Sembilan,291.8,206.6,567.1,324.8,0.572738494
2002,Pahang,441.4,283.2,829.6,406.9,0.490477338
2002,Pulau Pinang,462.1,389.2,928.3,643.1,0.692771733
2002,Perak,661.5,516.8,1317,788.3,0.598557327
2002,Perlis,62,38.5,127.2,57,0.448113208
2002,Selangor,1536.9,1130.9,2981.8,1749.9,0.586860286
2002,Terengganu,273.9,187.6,535.3,279.6,0.522323931
2002,Sabah,860,690,1653.3,1028.8,0.62227061
2002,Sarawak,684.3,561.6,1336.2,917.7,0.686798383
2002,W.P. Kuala Lumpur,515.6,490.6,1012.6,794.1,0.784218843
2002,W.P. Labuan,25.9,23.7,48.5,32.9,0.678350515
2003,Johor,1004.4,826.2,1907.6,1269.1,0.665286224
2003,Kedah,530.1,422.5,1071.1,657.7,0.614041639
2003,Kelantan,388.4,292.8,786.7,475.6,0.604550655
2003,Melaka,218.4,167.1,435.8,272.7,0.625745755
2003,Negeri Sembilan,299.5,215.6,581.6,339.7,0.584078404
2003,Pahang,452.2,319,849.6,460,0.541431262
2003,Pulau Pinang,473.7,407.5,949.6,674.3,0.710088458
2003,Perak,678.6,484.2,1346.3,734.7,0.545717893
2003,Perlis,63.3,50.8,129.6,76.6,0.591049383
2003,Selangor,1600.1,1164.9,3097.2,1834.2,0.592212321
2003,Terengganu,281.7,226.7,550.6,344.9,0.626407555
2003,Sabah,893.7,710.1,1715.9,1073.1,0.625386095
2003,Sarawak,704.8,574.8,1370.2,909.9,0.66406364
2003,W.P. Kuala Lumpur,528.5,439.4,1036.8,715.1,0.689718364
2003,W.P. Labuan,26.3,22,49.6,31.9,0.643145161
2004,Johor,1034.7,808.4,1960.3,1232.6,0.628781309
2004,Kedah,545,412.3,1097,654.6,0.596718323
2004,Kelantan,400.6,277.4,810,436.6,0.539012346
2004,Melaka,225.9,166.4,450.3,265.4,0.589384855
2004,Negeri Sembilan,307.6,228.5,597.1,360.3,0.603416513
2004,Pahang,463,368.8,868.3,526.2,0.606011747
2004,Pulau Pinang,485.4,378.6,971.7,625,0.643202635
2004,Perak,695.3,514.8,1374.8,791,0.575356415
2004,Perlis,64.9,47.6,132.3,73.8,0.557823129
2004,Selangor,1667.7,1234.3,3221.5,1973.4,0.612571783
2004,Terengganu,289.1,220.9,565.3,336.9,0.595966743
2004,Sabah,929.6,727.8,1782.6,1081.7,0.606810277
2004,Sarawak,725.6,579.6,1405.4,918.6,0.653621745
2004,W.P. Kuala Lumpur,542,403.6,1062.7,671.7,0.632069258
2004,W.P. Labuan,26.8,21.7,50.9,32.2,0.632612967
2005,Johor,1065.5,814.3,2013.8,1237.1,0.614311252
2005,Kedah,559.9,415.4,1123.2,652.8,0.581196581
2005,Kelantan,412.6,286,833.2,438.8,0.526644263
2005,Melaka,233.8,168.6,465.6,271.1,0.58225945
2005,Negeri Sembilan,315.7,239.5,612.2,372.8,0.608951323
2005,Pahang,473.2,375.7,886.6,524.7,0.591811414
2005,Pulau Pinang,497.3,382.9,994.2,621.5,0.625125729
2005,Perak,711.6,520.3,1403.1,801.2,0.57102131
2005,Perlis,66.3,47.3,135.3,74,0.546932742
2005,Selangor,1737.9,1242.4,3351.4,1985.9,0.592558334
2005,Terengganu,296.9,223.9,580.3,342,0.589350336
2005,Sabah,967.8,747.9,1853.8,1106.9,0.597097853
2005,Sarawak,746.5,576.5,1440.7,910.9,0.632262095
2005,W.P. Kuala Lumpur,556.2,407.7,1090,675.3,0.619541284
2005,W.P. Labuan,27.6,22,52.4,30.5,0.582061069
2006,Johor,1095.7,832.4,2067,1258.1,0.608659894
2006,Kedah,575.1,424.4,1149.8,656.8,0.571229779
2006,Kelantan,425,291.9,856.7,458.4,0.535076456
2006,Melaka,242.1,169.7,481.8,273.2,0.567040266
2006,Negeri Sembilan,270,243.3,574,378.8,0.659930314
2006,Pahang,483.7,394.9,905.2,557.4,0.615775519
2006,Pulau Pinang,509.5,389.2,1017.6,647.7,0.636497642
2006,Perak,728.2,534.5,1432.1,815.8,0.569652957
2006,Perlis,68.1,49,138.8,74.5,0.536743516
2006,Selangor,1808,1258.4,3480.5,2017.7,0.579715558
2006,Terengganu,304.7,232.3,595.1,351.6,0.590825071
2006,Sabah,1008.3,770.7,1929.2,1160.2,0.601389177
2006,Sarawak,767.9,595.7,1477.2,918.3,0.621649066
2006,W.P. Kuala Lumpur,571,410.7,1118.7,676.6,0.604809153
2006,W.P. Labuan,28.1,21.7,53.8,30.6,0.568773234
2007,Johor,1125.7,847.2,2119.4,1286.7,0.607105785
2007,Kedah,590.6,430.4,1177,670.4,0.569583687
2007,Kelantan,438.6,304.6,882.2,473.1,0.536272954
2007,Melaka,251,172.8,499.5,284.2,0.568968969
2007,Negeri Sembilan,333,248.4,644.4,381.6,0.592178771
2007,Pahang,494.1,392.4,923.6,561.8,0.608271979
2007,Pulau Pinang,522.2,390.8,1041.6,653.5,0.627400154
2007,Perak,744.9,548.2,1462.1,852.2,0.582860269
2007,Perlis,70,50.7,142.9,80,0.55983205
2007,Selangor,1877.3,1279.4,3609.2,2064.2,0.571927297
2007,Terengganu,312.4,241.2,610.3,363,0.594789448
2007,Sabah,1051.3,799.3,2008.7,1198.5,0.596654553
2007,Sarawak,789.9,601.6,1515,954.1,0.629768977
2007,W.P. Kuala Lumpur,586.2,417.1,1148.1,682.1,0.594112011
2007,W.P. Labuan,29,22.8,55.5,32.6,0.587387387
2008,Johor,1155.5,859.4,2171.5,1283.8,0.591204237
2008,Kedah,606.4,433,1205.1,676,0.560949299
2008,Kelantan,453.2,310.6,909.4,486.4,0.534858148
2008,Melaka,260.4,178,518.2,286.8,0.553454265
2008,Negeri Sembilan,341.9,254.1,661,387,0.585476551
2008,Pahang,504.7,407.1,942.3,589.9,0.626021437
2008,Pulau Pinang,535.2,398.8,1066.2,674.9,0.632995686
2008,Perak,760.9,553.7,1492.3,858.9,0.575554513
2008,Perlis,72.1,50.8,147.5,81.5,0.552542373
2008,Selangor,1944.4,1297.1,3733.5,2092,0.560332128
2008,Terengganu,320.2,249.3,625.2,375.6,0.600767754
2008,Sabah,1095.8,822.2,2090.3,1230.5,0.588671483
2008,Sarawak,812.1,600,1553.6,921.6,0.593202884
2008,W.P. Kuala Lumpur,601.1,414,1176.7,682.2,0.579756947
2008,W.P. Labuan,29.4,23,56.9,32.5,0.571177504
2009,Johor,1185,855.7,2222.9,1306.3,0.587655765
2009,Kedah,621.8,450,1232.6,701.5,0.569122181
2009,Kelantan,467.1,322.3,935.8,505.2,0.539858944
2009,Melaka,269.5,176.3,536.9,283.9,0.528776308
2009,Negeri Sembilan,350.5,251.3,677,386.5,0.570901034
2009,Pahang,515,413.5,960.4,603.7,0.628592253
2009,Pulau Pinang,548,400.5,1090.5,689.8,0.632553874
2009,Perak,776.3,568,1521.4,891.5,0.585973446
2009,Perlis,74.5,52.3,152.4,81.5,0.534776903
2009,Selangor,2012.1,1303.2,3859.3,2095.3,0.542922292
2009,Terengganu,327.9,258.6,640.1,390.3,0.609748477
2009,Sabah,1139.7,840.3,2170.8,1270.6,0.58531417
2009,Sarawak,834.4,622.9,1592,977.5,0.614007538
2009,W.P. Kuala Lumpur,615.4,416.7,1204.3,678.1,0.563065681
2009,W.P. Labuan,30.2,24.1,58.4,35.5,0.607876712
2010,Johor,1213.3,971.7,2272.4,1418.8,0.624361908
2010,Kedah,636.8,477.5,1258.6,725.7,0.57659304
2010,Kelantan,480.6,339.1,961.3,534.2,0.555705815
2010,Melaka,278.4,209.1,555,335.1,0.603783784
2010,Negeri Sembilan,359,267.1,692.7,405.4,0.585246138
2010,Pahang,524.7,405.4,976.8,591,0.605036855
2010,Pulau Pinang,559.9,439.4,1113.2,742.3,0.666816385
2010,Perak,791.7,585.4,1550.6,878.7,0.566683864
2010,Perlis,76.3,53.8,156.8,80.9,0.515943878
2010,Selangor,2057.3,1597.1,3935.4,2551.2,0.648269553
2010,Terengganu,334.9,242.3,653.9,366.5,0.560483254
2010,Sabah,1181.1,944.4,2246.6,1398.6,0.622540728
2010,Sarawak,856,678.5,1629.9,1045.6,0.641511749
2010,W.P. Kuala Lumpur,628,472.5,1228.9,788.1,0.641305232
2010,W.P. Labuan,31,24.5,59.9,37.6,0.627712855
2011,Johor,1236.4,987.9,2315.9,1461.9,0.631244872
2011,Kedah,650.1,485.8,1284,743.3,0.578894081
2011,Kelantan,495.7,342.8,990.7,544.6,0.549712325
2011,Melaka,283.8,208.7,565.9,340.8,0.602226542
2011,Negeri Sembilan,368.1,269.3,710.3,416,0.585668028
2011,Pahang,539.1,421.4,1002.1,608.4,0.607125037
2011,Pulau Pinang,571.1,454.1,1137.5,772.8,0.679384615
2011,Perak,805.9,602.6,1578.8,919.8,0.582594375
2011,Perlis,77.8,55.6,158.7,83.3,0.524889729
2011,Selangor,2095.1,1642.4,4006.2,2645.2,0.660276571
2011,Terengganu,345.9,253.4,674.4,390.2,0.578588375
2011,Sabah,1225.6,994.5,2328,1474.4,0.633333333
2011,Sarawak,876.3,690.8,1670.3,1058.1,0.633479016
2011,W.P. Kuala Lumpur,635.4,480.6,1244.2,812.5,0.653030059
2011,W.P. Labuan,31.1,25.2,60.7,38.6,0.635914333
2011,W.P. Putrajaya,23.3,19.7,51.4,41.5,0.807392996
2012,Johor,1256.7,1002.3,2352.1,1481.5,0.629862676
2012,Kedah,666.2,507.6,1313.8,786.9,0.598949612
2012,Kelantan,510.4,359.4,1020.2,578.7,0.567241717
2012,Melaka,291.5,218.8,577.8,357,0.617860852
2012,Negeri Sembilan,375.8,282.1,720.6,442.1,0.613516514
2012,Pahang,550.6,435.2,1022,633,0.619373777
2012,Pulau Pinang,579.9,461,1156.3,779.8,0.674392459
2012,Perak,818.3,605.2,1604,927.1,0.577992519
2012,Perlis,79.3,56.4,160.4,87.2,0.543640898
2012,Selangor,2128.3,1701,4072.6,2776.1,0.681652998
2012,Terengganu,352.3,255.4,687.5,389.6,0.566690909
2012,Sabah,1268,1024.3,2409.1,1537.4,0.63816363
2012,Sarawak,896,724.6,1707.8,1143.9,0.669809111
2012,W.P. Kuala Lumpur,636.7,491.5,1250.8,820.3,0.655820275
2012,W.P. Labuan,31.4,25.7,62,39.5,0.637096774
2012,W.P. Putrajaya,23.1,19,50.9,40.3,0.791748527
2013,Johor,1262.4,1010.1,2371.2,1553.4,0.655111336
2013,Kedah,688.8,529.3,1353.6,842.4,0.622340426
2013,Kelantan,524.1,369.8,1046.8,602.7,0.575754681
2013,Melaka,296.5,223.7,587.2,375.5,0.639475477
2013,Negeri Sembilan,384.6,291.6,734.3,464.1,0.632030505
2013,Pahang,563.8,443.3,1043,659.8,0.632598274
2013,Pulau Pinang,599,478.4,1191.7,811.9,0.681295628
2013,Perak,833,621.8,1629.9,947.8,0.581508068
2013,Perlis,80.7,59.8,162.4,94.4,0.581280788
2013,Selangor,2218.1,1769.7,4232.7,2933.4,0.693032816
2013,Terengganu,358.9,261,703.1,407,0.578865026
2013,Sabah,1355.5,1112.2,2568.8,1706,0.664123326
2013,Sarawak,939.4,759.4,1777.4,1188.5,0.668673343
2013,W.P. Kuala Lumpur,644.6,509.9,1264.6,877.8,0.694132532
2013,W.P. Labuan,31.8,25.9,62.5,40.1,0.6416
2013,W.P. Putrajaya,22.9,18.8,51.1,40.7,0.796477495
2014,Johor,1312,1024.9,2449.7,1579.7,0.644854472
2014,Kedah,701.1,528.2,1377.3,859.8,0.624264866
2014,Kelantan,541.3,373.8,1078.6,625.3,0.579732987
